time,var1,var2,skew1,skew2,kurt1,kurt2,entropy1,entropy2,entropy change1,entropy change2,Shr_stress,TTsF,TTeF
7088.837414,37.151164,77.55794654,0.026989286,0.087620789,14.15205344,25.92193351,4.4409567,4.8968619,3.151798,3.4065396,6.53678086,7.401,0.8
7088.937404,43.72799245,92.26969083,0.013404869,0.072611752,12.15082097,13.49220718,4.5809267,5.0636754,0.61738387,0.75282735,6.53445467,7.301,0.7
7089.037395,44.65417974,94.56769879,0.006936964,0.075096085,11.7344994,12.95729443,4.6092086,5.1017961,0.12980773,0.14846865,6.52962375,7.201,0.6
7089.137385,44.83172662,94.94919589,-0.002507846,0.071573546,11.644666,12.84937406,4.6151917,5.1093707,0.11598863,0.099993568,6.5188382,7.101,0.5
7089.237415,44.61640656,94.70733654,-0.007631822,0.073598013,11.67014468,12.91638896,4.6098386,5.1042617,0.22402697,0.32759595,6.49555001,7.001,0.4
7089.337405,44.31246951,93.86885402,0.006969386,0.087265183,11.82914929,13.14245938,4.5995113,5.0875403,0.46942682,0.57996247,6.36882763,6.901,0.3
7089.437396,43.63551274,92.24989526,0.014350843,0.096443859,12.14412544,13.49222577,4.57792,5.0580345,0.66723223,0.8656677,6.32893053,6.801,0.2
7089.537426,42.75650404,90.10524168,0.021657103,0.09610015,12.59454705,14.07899085,4.5473746,5.0142487,1.0986144,1.4509398,6.32539661,6.701,0.1
7089.637416,41.35264237,86.43221231,0.020680188,0.091243325,13.36639346,15.10929724,4.4974165,4.941495,2.4021993,2.8201256,6.3269299,6.601,0
7089.737407,37.68215041,78.61949442,0.007259126,0.09122644,14.20928808,17.67022032,4.3893796,4.8021386,7.5272664,7.9055938,6.32861547,6.501,7.701
7089.837397,18.94347415,35.38114069,-0.012268457,0.082398454,12.67579989,20.00030507,4.0589793,4.4225011,5.6718808,6.5130436,6.33118321,6.401,7.601
7089.937427,12.01025683,18.89587239,-0.008850576,0.010299567,4.61444253,7.110825751,3.8287589,4.1344616,1.9372439,2.7588929,6.33442308,6.301,7.501
7090.037418,10.78722466,15.7995329,2.12E-05,0.012687995,5.422346758,5.648055449,3.7545865,4.0203963,1.0209779,1.5480057,6.33711684,6.201,7.401
7090.137408,10.22102597,14.44179203,0.003937091,0.009043766,5.565454727,5.711181801,3.716253,3.9581603,0.65668255,1.0157891,6.34115486,6.101,7.301
7090.237438,9.874954665,13.65353431,0.002394942,0.013479305,5.638159219,6.076312174,3.691849,3.9179537,0.52438603,0.85121094,6.3440009,6.001,7.201
7090.337428,9.595903,12.98441979,0.002696939,0.023830546,5.362213887,5.513352413,3.6724894,3.8846037,0.34106065,0.59321196,6.34779212,5.901,7.101
7090.437419,9.418637779,12.59498154,0.002804852,0.036886826,5.279338052,5.823283852,3.659964,3.8615598,0.23346635,0.42265331,6.35147833,5.801,7.001
7090.537409,9.307093399,12.33593095,0.002424194,0.042722211,5.314421189,6.14690708,3.6514192,3.8452387,0.22790206,0.37232735,6.3552853,5.701,6.901
7090.637439,9.200307983,12.08308805,0.001075222,0.039832319,5.354303143,5.546808779,3.6430976,3.8309219,0.17648126,0.32393415,6.35834138,5.601,6.801
7090.73743,9.114441543,11.86850677,-0.000440773,0.043225643,5.299974515,5.506985632,3.6366682,3.8185122,0.12116618,0.15733895,6.36373416,5.501,6.701
7090.83742,9.061230888,11.90608275,-0.004614542,0.044652112,5.339961301,9.288544663,3.6322618,3.8125042,0.10214995,0.19261516,6.36638591,5.401,6.601
7090.93745,9.01336802,11.76554822,-0.00498786,0.043322045,5.334950964,9.202209932,3.6285514,3.8051607,0.061534469,0.1764207,6.37123784,5.301,6.501
7091.037441,8.955937343,11.65485675,-0.011937504,0.043288206,3.343587954,9.270899112,3.6263186,3.7984476,0.10670347,0.17369691,6.37450396,5.201,6.401
7091.137431,8.904623232,11.54834061,-0.012137705,0.042894423,3.310021213,9.350573284,3.6224492,3.7918499,0.091866915,0.19543778,6.37793286,5.101,6.301
7091.237422,8.860945442,11.39569373,-0.011383628,0.040078433,3.282203438,8.783646093,3.6191214,3.7844391,0.050249049,0.002699391,6.3820444,5.001,6.201
7091.337452,8.839765143,11.42683078,-0.012273391,0.043419045,3.30080345,9.320950062,3.6173028,3.7845413,0.080786973,0.1673647,6.38647099,4.901,6.101
7091.437442,8.803887229,11.30304997,-0.011310521,0.042854373,3.299884766,9.157056101,3.6143805,3.7782073,0.053522457,0.11395152,6.39011518,4.801,6.001
7091.537433,8.777012633,11.20517898,-0.012920984,0.038010935,3.264156799,8.883361019,3.612446,3.773902,0.076489029,0.06756108,6.3943895,4.701,5.901
7091.637463,8.81247261,11.15132706,-0.012745601,0.035516337,3.281155049,8.703117548,3.6152091,3.7713523,0.020767787,0.042021291,6.39813346,4.601,5.801
7091.737453,8.821427464,11.13039771,-0.012354027,0.034606694,3.278872148,8.745764565,3.6159599,3.7697675,0.014498367,0.083367759,6.40136808,4.501,5.701
7091.837443,8.828762731,10.94260977,-0.01054498,0.029124894,3.316511095,4.260003263,3.6164842,3.7666248,0.018544617,0.011259611,6.40563189,4.401,5.601
7091.937434,8.844875317,10.94033139,-0.007272386,0.029663573,3.417869417,4.280745914,3.6171548,3.7662007,0.066464769,0.027045239,6.40980118,4.301,5.501
7092.037464,8.813758908,10.92584152,-0.005884875,0.029156669,3.402212487,4.294012543,3.6147507,3.7651821,0.048217794,0.032857638,6.41244769,4.201,5.401
7092.137454,8.792320101,10.94426908,-0.006207068,0.031433815,3.400940148,4.327559154,3.6130078,3.7664192,0.023886899,0.093833351,6.41631767,4.101,5.301
7092.237445,8.781934343,11.01781938,-0.005874712,0.03624098,3.401800224,4.665431585,3.6121447,3.7699534,0.023031109,0.061535503,6.42060774,4.001,5.201
7092.337475,8.770186922,10.95505588,-0.005306656,0.034730672,3.375164538,4.083899396,3.6113128,3.7676335,0.009925539,0.07588075,6.42446723,3.901,5.101
7092.437465,8.765683328,11.00138688,-0.004532066,0.031188981,3.374467992,4.128862846,3.6109544,3.7704924,0.038426609,0.079897443,6.42794864,3.801,5.001
7092.537456,8.782696799,11.0588546,-0.003929056,0.033173139,3.375525521,4.216507965,3.6123419,3.773505,0.028917815,0.071382918,6.43214419,3.701,4.901
7092.637446,8.804163046,11.1021761,-0.003536243,0.034479456,3.510381493,4.231540849,3.6133865,3.7761986,0.03661114,0.082413182,6.4353893,3.601,4.801
7092.737476,8.824653159,11.14730516,-0.00310776,0.036238149,3.57826329,4.229184446,3.6147094,3.7793107,0.0169656,0.045355979,6.43886022,3.501,4.701
7092.837467,8.810769744,11.17251926,-0.003592926,0.03821966,3.487872953,4.219048947,3.6140962,3.7810248,0.025379263,0.023696292,6.44192155,3.401,4.601
7092.937457,8.790799562,11.18201164,-0.007423008,0.037567292,3.378767966,4.183180354,3.6131789,3.7819208,0.06572112,0.099664995,6.44571802,3.301,4.501
7093.037487,8.822373813,11.24164781,-0.00749063,0.037268359,3.409753088,4.181156985,3.6155536,3.78569,0.11297245,0.092551889,6.44927295,3.201,4.401
7093.137477,8.876392998,11.29710601,-0.006273083,0.035730131,3.444138896,4.138972459,3.6196381,3.7891938,0.055268806,0.021178809,6.45305892,3.101,4.301
7093.237468,8.902414809,11.29406264,-0.007923713,0.03084322,3.458768934,3.831130964,3.6216387,3.7899963,0.071350423,0.095871486,6.45619902,3.001,4.201
7093.337458,8.936426778,11.35373875,-0.008631229,0.028953088,3.480165196,3.882344008,3.6242227,3.7936298,0.042475308,0.082143201,6.45993773,2.901,4.101
7093.437488,8.955122872,11.40085699,-0.009935125,0.029489821,3.474977411,3.835072483,3.6257621,3.796746,0.028741717,0.1047825,6.46334563,2.801,4.001
7093.537479,8.967949017,11.4641704,-0.009667528,0.024563951,3.472943706,3.845462588,3.6268042,3.8007243,0.060430825,0.1037734,6.46660125,2.701,3.901
7093.637469,8.986452817,11.52981407,-0.010536013,0.024143835,3.341220793,3.854599943,3.6289959,3.8046685,0.088537708,0.13094922,6.47062351,2.601,3.801
7093.737499,9.025212233,11.61779113,-0.011243223,0.024024049,3.302846211,3.898450967,3.632209,3.8096507,0.10144693,0.15976515,6.47412068,2.501,3.701
7093.83749,9.073069063,11.72604066,-0.011544803,0.026205029,3.316579666,3.997737371,3.6358937,3.8157372,0.11548662,0.22165685,6.47758109,2.401,3.601
7093.93748,9.147354891,11.89888851,-0.00862485,0.033224437,4.444232435,4.326211687,3.6400927,3.824195,0.056996914,0.14233775,6.48140907,2.301,3.501
7094.037471,9.170203334,11.99127775,-0.009324697,0.034638777,4.402197963,4.346984801,3.6421675,3.8296383,0.003585732,0.12610633,6.4839348,2.201,3.401
7094.137501,9.168378441,12.07497916,-0.01082956,0.03277145,4.373189324,4.381253945,3.6422981,3.8344677,0.10476261,0.20238383,6.48719567,2.1,3.3
7094.237491,9.217132384,12.20840643,-0.008927821,0.035883808,4.359770744,4.404041981,3.6461138,3.842228,0.16832384,0.22099551,6.49133871,2.001,3.201
7094.337482,9.29880006,12.34902353,-0.007431294,0.037155472,4.365860196,4.330991952,3.6522511,3.8507192,0.18401362,0.24674303,6.4947151,1.901,3.101
7094.437512,9.390390635,12.51119578,-0.006174757,0.038207979,4.387356748,4.313634638,3.6589717,3.8602206,0.17286974,0.23097245,6.49831729,1.8,3
7094.537502,9.480033087,12.66037967,-0.005932516,0.039817352,4.454417179,4.257913355,3.665297,3.8691366,0.2235208,0.27256662,6.50189847,1.7,2.9
7094.637492,9.600785143,12.84660328,-0.002216304,0.039910051,4.590869943,4.242275695,3.6734897,3.8796826,0.17949169,0.31755466,6.50429818,1.601,2.801
7094.737483,9.689985626,13.08065108,-0.003589843,0.040182855,4.587657709,4.299990356,3.6800833,3.8920027,0.17216718,0.29074915,6.50792137,1.501,2.701
7094.837513,9.787526651,13.28389352,0.002263096,0.038173396,5.057421445,4.250819258,3.6864192,3.9033187,0.15571045,0.30697952,6.51057312,1.4,2.6
7094.937503,9.844014913,13.48381982,-0.000641204,0.032520388,4.065259901,4.07178382,3.6921593,3.9153011,0.25975443,0.41845824,6.51297808,1.3,2.5
7095.037494,9.9864099,13.8220817,-0.001567412,0.031866223,4.198279915,4.389905426,3.7017499,3.931685,0.22826524,0.43858891,6.5154303,1.201,2.401
7095.137484,10.10648561,14.18163939,-0.00346311,0.027370966,4.199335922,4.707277294,3.7101997,3.9489289,0.30178277,0.47076563,6.51848113,1.101,2.301
7095.237514,10.320309,14.56622739,-0.021762621,0.022087568,6.449847159,4.757821689,3.7213964,3.9675191,0.28644015,0.4254458,6.52105937,1,2.2
7095.337505,10.46710691,14.90866357,-0.022993229,0.020875013,6.328818748,4.729695687,3.732056,3.9843987,0.37891427,0.55857667,6.52350634,0.9,2.1
7095.437495,10.70479185,15.40659794,-0.030266325,0.027984479,6.819133634,4.967695349,3.7461973,4.0066546,0.42856331,0.64517049,6.52611608,0.801,2.001
7095.537525,10.96546109,15.98769076,-0.024355977,0.036224119,7.1823671,4.99221975,3.7622521,4.0325044,0.40799601,0.64615842,6.52799069,0.7,1.9
7095.637515,11.18943188,16.60333786,-0.023670547,0.040030773,6.947235321,5.385734329,3.777602,4.0585608,0.51233828,0.72156127,6.529608,0.6,1.8
7095.737506,11.49733927,17.28599912,-0.02702111,0.043076965,6.822918876,5.299513073,3.7969561,4.0878458,0.61403899,0.88245498,6.53159813,0.5,1.7
7095.837496,11.87713143,18.2014105,-0.034930839,0.043829534,6.454291365,5.312488299,3.8202709,4.1239192,0.74446166,0.98699662,6.53334671,0.401,1.601
7095.937526,12.44053599,19.40407554,-0.038800392,0.089011272,8.874352015,12.49901779,3.8487113,4.1646221,0.81737654,1.0744612,6.53453869,0.3,1.5
7096.037517,13.03154903,20.63398687,-0.034344877,0.083754595,8.906877956,11.52093632,3.8801698,4.2093694,0.98470823,1.2999705,6.53506379,0.2,1.4
7096.137507,13.74764677,22.26297894,-0.030610415,0.071212267,8.466618689,10.67291219,3.9183781,4.2640899,1.232564,1.6505353,6.53579893,0.1,1.3
7096.237537,14.64859696,24.62208262,-0.018091242,0.065251673,6.884946958,10.02435452,3.9666746,4.3344702,1.8858731,2.1819367,6.53567815,0,1.2
7096.337528,16.39214953,28.21027276,-0.017598934,0.065249052,7.192247222,8.971039257,4.0414811,4.4290456,3.0228065,3.4035415,6.53535784,7.4,1.1
7096.437518,19.79787446,35.59773435,0.013210156,0.069561308,10.81759709,8.201979498,4.1636472,4.57979,6.4627395,6.5195612,6.53357775,7.3,1
7096.537509,33.28133657,64.3014855,0.066549297,0.076562962,21.99334073,13.24815326,4.4327329,4.8783722,3.5503058,3.6865589,6.53169264,7.2,0.9
7096.637539,41.35363549,81.91445917,0.055530259,0.062874853,17.65345877,11.45713727,4.5901085,5.0582163,0.74902948,0.82324395,6.52749185,7.1,0.8
7096.737529,42.63108602,84.70598166,0.053068202,0.074022833,16.91338547,11.26002852,4.6244898,5.0998578,0.1665835,0.14734252,6.52137968,7,0.7
7096.83752,43.00995315,85.52779325,0.051644432,0.091900585,17.29614845,12.97386135,4.6321934,5.107372,0.12809642,0.1682836,6.50955968,6.9,0.6
7096.93755,42.7325631,84.89388356,0.045425724,0.085391327,17.2833377,12.77424407,4.6262597,5.0987772,0.29594639,0.34331427,6.48378777,6.8,0.5
7097.03754,42.25106036,83.93836947,0.047810968,0.084575297,17.61771195,13.04787353,4.6125685,5.0812723,0.44568657,0.59208241,6.38961634,6.7,0.4
7097.137531,41.69787683,82.37839649,0.04916199,0.083563526,18.51825589,13.52316718,4.5920109,5.051187,0.72942517,0.96697985,6.33808302,6.6,0.3
7097.237521,40.66723047,79.78461721,0.050097102,0.08785096,19.39089008,14.28396103,4.5585156,5.0023431,1.2557595,1.5042763,6.33172931,6.5,0.2
7097.337551,38.8028027,75.91553995,0.047835626,0.093767088,20.99087446,15.58652623,4.5012716,4.927094,2.3645609,2.7949245,6.33138275,6.4,0.1
7097.437541,35.16085312,68.02901399,0.046795403,0.100915557,23.62556653,18.67920359,4.3948363,4.7893854,6.323002,6.6895096,6.33285828,6.3,0
7097.537532,21.39207646,38.68518131,-0.019273312,0.123912449,19.72493805,28.03991883,4.1169507,4.468999,6.0585288,6.7530769,6.33463837,6.2,7.2
7097.637562,13.00828017,20.33655644,-0.077557858,0.23649229,18.73713193,47.49700237,3.8675241,4.1672041,2.3042139,3.0935218,6.33746866,6.1,7.1
7097.737552,11.36907344,16.61705337,-0.077595566,0.218114774,20.11454815,56.44551386,3.778408,4.0382907,1.2212898,1.7421438,6.34104459,6,7
7097.837543,10.52866503,14.66567311,-0.012374541,0.021480414,11.59143157,6.090862549,3.7322627,3.9679379,0.72707556,1.1150356,6.34379086,5.9,6.9
7097.937533,10.13772801,13.78281173,-0.018346366,0.0198922,12.15695804,6.162375743,3.7051264,3.923694,0.52443396,0.8458846,6.34709899,5.8,6.8
7098.037563,9.854732675,13.10796951,-0.023998626,0.020327058,12.28942798,5.78725247,3.6856954,3.890504,0.4331828,0.59734576,6.35062241,5.7,6.7
7098.137554,9.549198553,12.6058546,-0.004168884,0.037363982,4.723230128,4.050861924,3.6697296,3.8672643,0.30384127,0.41692658,6.3542141,5.6,6.6
7098.237544,9.400980694,12.33195407,-0.003771198,0.039580591,4.748935124,4.099205341,3.6585795,3.8511406,0.23651532,0.39410985,6.35745396,5.5,6.5
7098.337574,9.288971187,12.07811174,-0.003687953,0.037376634,4.790012095,4.165323669,3.6499264,3.8359629,0.22298719,0.3009747,6.36169152,5.4,6.4
7098.437564,9.183205203,11.88579602,-0.002511249,0.034543289,4.805936211,4.208773244,3.6417875,3.8244176,0.13712458,0.22558559,6.36462683,5.3,6.3
7098.537555,9.112064672,11.74635852,-0.008971745,0.031071206,4.459066669,4.512045327,3.6367937,3.8157903,0.1370042,0.24461164,6.3689379,5.2,6.2
7098.637545,9.049362231,11.594579,-0.009154211,0.02507622,4.472163315,4.536033235,3.6318111,3.8064564,0.10968365,0.12533485,6.37300743,5.1,6.1
7098.737575,8.992699249,11.61644989,-0.009011227,0.044719689,4.311214812,10.00274964,3.6278276,3.8016856,0.14445983,0.11867168,6.37687741,5,6
7098.837566,8.925581639,11.52779397,-0.007087992,0.045916408,4.305878688,9.952013313,3.6225869,3.7971741,0.075505936,0.089543944,6.38092068,4.9,5.9
7098.937556,8.890817913,11.45955226,-0.007769584,0.046338679,4.304218248,9.903952438,3.6198516,3.7937739,0.053542693,0.10863406,6.38475916,4.8,5.8
